Parcel(s),Building Name,Building Address,Postal Code,Floor Area,Property Type - Self Selected,Full.Address,Benchmark 2017 Status,2017 Reason for Exemption,PIM Link,Benchmark 2016 Status,2016 Reason for Exemption,Benchmark 2015 Status,2015 Reason for Exemption,Benchmark 2014 Status,2014 Reason for Exemption,Benchmark 2013 Status,2013 Reason for Exemption,Benchmark 2012 Status,2012 Reason for Exemption,Benchmark 2011 Status,2011 Reason for Exemption,Benchmark 2010 Status,2010 Reason for Exemption,Energy Audit Due Date,Energy Audit Status,Next Audit Due Date,Next Energy Audit Status,2017 ENERGY STAR Score,2017 Site EUI (kBtu/ft2),2017 Source EUI (kBtu/ft2),2017 Percent Better than National Median Site EUI,2017 Percentage Better than National Median Source EUI,2017 Total GHG Emissions (Metric Tons CO2e),2017 Total GHG Emissions Intensity (kgCO2e/ft2),2017 Weather Normalized Site EUI (kBtu/ft2),2017 Weather Normalized Source EUI (kBtu/ft2),2016 ENERGY STAR Score,2016 Site EUI (kBtu/ft2),2016 Source EUI (kBtu/ft2),2016 Percent Better than National Median Site EUI,2016 Percentage Better than National Median Source EUI,2016 Total GHG Emissions (Metric Tons CO2e),2016 Total GHG Emissions Intensity (kgCO2e/ft2),2016 Weather Normalized Site EUI (kBtu/ft2),2016 Weather Normalized Source EUI (kBtu/ft2),2015 ENERGY STAR Score,2015 Site EUI (kBtu/ft2),2015 Source EUI (kBtu/ft2),2015 Percent Better than National Median Site EUI,2015 Percentage Better than National Median Source EUI,2015 Total GHG Emissions (Metric Tons CO2e),2015 Total GHG Emissions Intensity (kgCO2e/ft2),2015 Weather Normalized Site EUI (kBtu/ft2),2015 Weather Normalized Source EUI (kBtu/ft2),2014 ENERGY STAR Score,2014 Site EUI (kBtu/ft2),2014 Source EUI (kBtu/ft2),2014 Percent Better than National Median Site EUI,2014 Percent Better than National Median Source EUI,2014 Total GHG Emissions (Metric Tons CO2e),2014 Total GHG Emissions Intensity (kgCO2e/ft2),2014 Weather Normalized Site EUI (kBtu/ft2),2014 Weather Normalized Source EUI (kBtu/ft2),2013 ENERGY STAR Score,2013 Site EUI (kBtu/ft2),2013 Source EUI (kBtu/ft2),2013 Percent Better than National Median Site EUI,2013 Percent Better than National Median Source EUI,2013 Total GHG Emissions (Metric Tons CO2e),2013 Total GHG Emissions Intensity (kgCO2e/ft2),2013 Weather Normalized Site EUI (kBtu/ft2),2013 Weather Normalized Source EUI (kBtu/ft2),2012 ENERGY STAR Score,2012 Site EUI (kBtu/ft2),2012 Source EUI (kBtu/ft2),2012 Percent Better than National Median Site EUI,2012 Percent Better than National Median Source EUI,2012 Total GHG Emissions (Metric Tons CO2e),2012 Total GHG Emissions Intensity (kgCO2e/ft2),2012 Weather Normalized Site EUI (kBtu/ft2),2012 Weather Normalized Source EUI (kBtu/sq.ft),2011 ENERGY STAR Score,2011 Site EUI (kBtu/ft2),2011 Source EUI (kBtu/ft2),2011 Percent Better than National Median Site EUI,2011 Percent Better than National Median Source EUI,2011 Total GHG Emissions (Metric Tons CO2e),2011 Total GHG Emissions Intensity (kgCO2e/ft2),2011 Weather Normalized Site EUI (kBtu/ft2),2011 Weather Normalized Source EUI (kBtu/ft2)
0298/008,The Andrews Hotel,624 POST ST,94109,19570,Hotel,"624 POST ST
SAN FRANCISCO, CA 94109
(37.787794, -122.41226)",Complied,,http://propertymap.sfplanning.org/?&search=0298/008,Complied,,Complied,,Complied,,Complied,,Complied,,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,Upcoming,2019-04-01T00:00:00,Complied,2014-04-01T00:00:00,95,105,149.3,-48.1,-48.1,117.5,6,105,149.3,89,131.2,179,-37.7,-37.7,149.4,7.6,132.7,180.4,90,123.4,172.9,-39.6,-39.6,139.8,7.1,125.6,174.7,90,124.4,173.8,-38.4,-38.4,140.8,7.2,129.6,178.1,89,133.6,181.9,-38,-38,152.3,7.8,126.6,175.2,,,,,,,,,,,,,,,,,,
0701/001,MKD Kabuki Center LLC,1881 POST ST,94115,115708,Movie Theater,"1881 POST ST
SAN FRANCISCO, CA 94115
(37.785218, -122.432679)",Violation - Insufficient Data,,http://propertymap.sfplanning.org/?&search=0701/001,Complied,,Complied,,Complied,,Complied,,Complied,,Exempt,,Exempt,,Complied,2018-04-01T00:00:00,Complied,2012-11-15T00:00:00,,,,,,,,,,,104.1,237.1,178.6,178.6,587.9,7.6,105.4,238.4,,107.6,242.7,185.2,185.2,579.5,7.5,108.7,242.9,,108.3,246.5,189.7,189.7,585.4,7.6,111.6,250.1,,116.7,257.7,202.8,202.8,622.6,8,114.2,255.1,,,,,,,,,,,,,,,,,,
0238/001,275 Battery Street,275 BATTERY ST,94104,588929,Office,"275 BATTERY ST
SAN FRANCISCO, CA 94104
(37.793915, -122.400111)",Complied,,http://propertymap.sfplanning.org/?&search=0238/001,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Exempt - ENERGY STAR,2018-04-01T00:00:00,Exempt - LEED EBOM,2012-11-15T00:00:00,92,45.1,130.8,-47.8,-47.8,1722.5,3.3,45.8,131.4,92,44.8,129.7,-48.1,-48.1,1935.3,3.7,46.8,131.8,92,45.9,133.6,-47.3,-47.3,1876.6,3.6,45.9,132.8,91,45.8,133.6,-46.7,-46.7,1875.6,3.6,47,134.8,90,51.7,142.9,-43.8,-43.8,2200.3,4.2,51.8,143,89,53.8,155.7,-43,,2342.09,,53.3,155.2,83,59,,-34.5,,2359.93,,58.6,
0271/001C,445 Grant,445 Grant Ave,94108,24800,Office,"445 Grant Ave
SAN FRANCISCO, CA 94108
(37.790992, -122.405645)",Violation - Did Not Report,,http://propertymap.sfplanning.org/?&search=0271/001C,Complied,,Complied,,Complied,,Complied,,Complied,,Violation - Insufficient Data,,Exempt,Exempt - SqFt Not Subject This Year,Upcoming,2019-04-01T00:00:00,Complied,2015-04-01T00:00:00,,,,,,,,,,33,61.8,175.9,19,19,125.8,5.1,65.3,179.6,33,63.4,180.5,19.2,19.2,122,4.9,63.6,179.7,31,63.1,181.9,22.5,22.5,122.1,4.9,65,184,29,67.9,191.5,25.3,25.2,139.1,5.6,68,191.7,,,,,,,,,,,,,,,,,,
3958/001B,Chip Factory,365 VERMONT ST,94103,12465,Office,"365 VERMONT ST
SAN FRANCISCO, CA 94103
(37.765138, -122.404546)",Complied,,http://propertymap.sfplanning.org/?&search=3958/001B,Complied,,Exempt,Exempt - Change of Ownership,Exempt,Exempt - Change of Ownership,Exempt,Exempt - Change of Ownership,Complied,,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,Pending - Contracted,2018-04-01T00:00:00,Complied,2013-04-01T00:00:00,80,29.6,93,-32.4,-32.4,28,2.2,29.6,93,96,14,40.3,-55.7,-55.7,14.4,1.2,14,40.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3754/057,1015 Folsom,1015 FOLSOM ST,94103,16981,Bar/Nightclub,"1015 FOLSOM ST
SAN FRANCISCO, CA 94103
(37.778257, -122.405941)",Complied,,http://propertymap.sfplanning.org/?&search=3754/057,Complied,,Complied,,Complied,,Complied,,Complied,,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,Pending - Contracted,2018-04-01T00:00:00,Complied,2013-04-01T00:00:00,,35.9,112.7,32.4,32.4,46.2,2.7,35.9,112.7,,37.2,116.8,37.2,37.2,54.8,3.2,37.2,116.8,,38,119.3,40.1,40.1,52.6,3.1,38,119.3,,34.7,108.9,28,28,48,2.8,34.7,108.9,,33.7,105.8,24.4,24.3,50.3,3,33.7,105.8,,,,,,,,,,,,,,,,,,
0294/017,355 SUTTER ST,355 SUTTER ST,94108,16593,Retail Store,"355 SUTTER ST
SAN FRANCISCO, CA 94108
(37.789506, -122.406291)",Violation - Did Not Report,,http://propertymap.sfplanning.org/?&search=0294/017,Violation - Insufficient Data,,Exempt,Exempt - Change of Ownership,Violation - Insufficient Data,,Complied,,Violation - Did Not Report,,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,Upcoming,2018-04-01T00:00:00,Complied,2013-04-01T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3738/012,SF - 215 Fremont St.,215 FREMONT ST,94105,457393,Office,"215 FREMONT ST
SAN FRANCISCO, CA 94105
(37.788839, -122.394637)",Violation - Did Not Report,,http://propertymap.sfplanning.org/?&search=3738/012,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Exempt - ENERGY STAR,2019-04-01T00:00:00,Exempt - LEED EBOM,2014-04-01T00:00:00,,,,,,,,,,93,54.8,139,-50,-50,1804.2,4.2,56.1,140.4,94,67.8,176.6,-46.9,-46.9,1949.1,5,68.9,177.7,92,71.8,191.1,-43,-43,2085.3,5.4,73.9,193.3,88,70.5,193.5,-38.8,-38.8,2218.4,5.7,70.6,193.7,86,74.3,217.3,-35,,2416.77,,74,217,79,79.7,,-27.5,,2617.32,,79.7,
3721/015,Temple Nightclub,55 NATOMA ST,94105,41400,Mixed Use Property,"55 NATOMA ST
SAN FRANCISCO, CA 94105
(37.787553, -122.398377)",Complied,,http://propertymap.sfplanning.org/?&search=3721/015,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Exempt,Exempt - SqFt Not Subject This Year,,,Complied,2014-04-01T00:00:00,,38.1,101.6,-17.4,-17.4,111.5,2.7,37.4,99.6,,31.2,91.7,-25.5,-25.5,108,2.6,30.6,89.7,,27.7,82.8,-32.7,-32.7,91.1,2.2,27.7,82.8,,21.1,61.5,-50,-50,68.5,1.7,21.1,61.5,,27,73.6,-40.2,-40.2,84.8,2,27,73.6,,32.3,82.1,-33.3,-33.3,98.1,2.4,32.3,82.1,,,,,,,,,
3713/007,One Market Plaza,1 MARKET ST,94105,1895166,Office,"1 MARKET ST
SAN FRANCISCO, CA 94105
(37.794046, -122.395366)",Violation - Data Not Verified,,http://propertymap.sfplanning.org/?&search=3713/007,Complied,,Complied,,Violation - Did Not Report,,Violation - Did Not Report,,Complied,,Complied,,Complied,,Exempt - LEED EBOM,2019-04-01T00:00:00,Exempt - LEED EBOM,2014-04-01T00:00:00,,,,,,,,,,89,64,144,-43,-43,8556,4.6,67.9,148.2,91,57.6,135.6,-47.4,-47.4,7535.9,4.1,59.1,137.2,,,,,,,,,,,,,,,,,,,80,82.4,189.3,-31.7,,11513.59,,86.3,193.5,79,82.7,,-30.4,,11760.21,,79.7,
0142/005,924 SANSOME ST,924 SANSOME ST,94111,20832,Restaurant,"924 SANSOME ST
SAN FRANCISCO, CA 94111
(37.798974, -122.402345)",Exempt,Vacancy,http://propertymap.sfplanning.org/?&search=0142/005,Complied,,Complied,,Complied,,Complied,,Complied,,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,Upcoming,2019-04-01T00:00:00,Complied,2013-04-01T00:00:00,,,,,,,,,,,18.5,31.9,-74.1,-74.1,24.7,1.2,18.5,31.9,,32.8,53.7,-56.4,-56.4,41.8,2,32.8,53.7,,35,57.9,-53,-53,44.7,2.1,35,57.9,,40.4,64.8,-47.4,-47.4,51.1,2.5,40.5,64.9,,,,,,,,,,,,,,,,,,
3953/003,115 Wisconsin St,115 WISCONSIN ST,94107,16178,Office,"115 WISCONSIN ST
SAN FRANCISCO, CA 94107
(37.766007, -122.39977)",Complied,,http://propertymap.sfplanning.org/?&search=3953/003,Complied,,Complied,,Complied,,Complied,,Violation - Did Not Report,,Complied,,Exempt,Exempt - SqFt Not Subject This Year,,,Complied,2014-04-01T00:00:00,,59,96.9,-34.5,-34.5,56.8,3.5,66,105.7,,61.1,109.6,-26,-26,64.8,4,74.8,126.7,,63.4,117.2,-20.9,-20.9,65.9,4.1,66.5,120.4,,65.4,126,-14.9,-14.9,69.1,4.3,74.4,135.5,,63.7,121.9,-17.6,-17.6,67.1,4.1,63.7,121.9,,,,,,,,,,,,,,,,,,
4346/002,2000 Marin Street,1901 CESAR CHAVEZ ST,94124,75035,,"1901 CESAR CHAVEZ ST
SAN FRANCISCO, CA 94124
(37.749837, -122.395125)",Exempt,Vacancy,http://propertymap.sfplanning.org/?&search=4346/002,Exempt,,Exempt,Exempt - Change of Ownership,Complied,,Complied,,Complied,,Complied,,Violation - Did Not Report,,Upcoming,2020-04-01T00:00:00,Exempt - Temporary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,15.3,45.9,-48.3,-48.3,91.4,1.2,15.3,45.9,84,19.6,58.9,-34.2,-34.3,125.9,1.7,19.6,58.9,71,31.8,75.4,-20.8,,178.76,,31.8,75.4,99,18.6,,-67.7,,123.13,,18.5,
0111/004,55 UNION ST,55 UNION ST,94111,43000,Office,"55 UNION ST
SAN FRANCISCO, CA 94111
(37.801462, -122.401093)",Violation - Did Not Report,,http://propertymap.sfplanning.org/?&search=0111/004,Complied,,Complied,,Complied,,Complied,,Violation - Did Not Report,,Violation - Did Not Report,,Exempt,Exempt - SqFt Not Subject This Year,,,Complied,2013-04-01T00:00:00,,,,,,,,,,87,60,134.7,-40.6,-40.6,186.7,4.3,63.2,138,75,75.1,168.5,-26.9,-26.9,224,5.2,76.7,170.2,,84.7,207.5,40.1,40.1,262.7,6.1,88.2,211.2,,146.4,383.7,159.2,159.2,468.8,10.9,146.7,384.1,,,,,,,,,,,,,,,,,,
0174/001,301 PACIFIC AVE,301 PACIFIC AVE,94111,14568,Office,"301 PACIFIC AVE
SAN FRANCISCO, CA 94111
(37.797622, -122.401151)",Complied,,http://propertymap.sfplanning.org/?&search=0174/001,Complied,,Complied,,Complied,,Complied,,Violation - Did Not Report,,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,,,Complied,2014-04-01T00:00:00,94,37.8,86.5,-53.3,-53.3,36.6,2.5,40,88.9,93,37.7,91.4,-49.7,-49.7,41.3,2.8,41.9,95.8,93,36.4,92.3,-50.1,-50.1,38.9,2.7,37.3,93.2,93,36.3,89.2,-51,-51,38.2,2.6,39.7,92.8,83,43,105.3,-36.1,-36.1,47.9,3.3,43.3,105.7,,,,,,,,,,,,,,,,,,
3570/039,154-174 Capp Street,154 CAPP ST,94110,33739,Office,"154 CAPP ST
SAN FRANCISCO, CA 94110
(37.764067, -122.418591)",Complied,,http://propertymap.sfplanning.org/?&search=3570/039,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Exempt,Exempt - SqFt Not Subject This Year,,,Complied,2014-04-01T00:00:00,93,27.4,76.8,-53,-53,66.8,2,28.3,77.7,92,27.9,78.4,-51.2,-51.2,76.7,2.3,29.7,80.1,93,28.7,80.6,-52.5,-52.5,74.6,2.2,29.2,80.6,92,27.7,79.4,-50.5,-50.5,72.8,2.2,27.7,79.4,86,35.7,93.9,-42,-42.1,95.6,2.8,34.2,92.4,,,,,,,,,,,,,,,,,,
5598/030,Bayshore Center II,353 BAY SHORE BLVD,94124,28484,Supermarket/Grocery Store,"353 BAY SHORE BLVD
SAN FRANCISCO, CA 94124
(37.74196, -122.405962)",Complied,,http://propertymap.sfplanning.org/?&search=5598/030,Complied,,Complied,,Complied,,Complied,,Complied,,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,Upcoming,2018-04-01T00:00:00,Complied,2013-04-01T00:00:00,37,107.8,332.5,11.3,11.3,166.1,8.1,107.8,332.5,,168.5,431.6,-10.1,-10.1,267.4,13.1,168.5,431.6,,162,420.4,-12.4,-12.4,246,12,162,420.4,,114.7,357,-25.6,-25.6,190.7,9.3,115.4,357.8,,148.3,390.7,-18.7,-18.6,241.5,11.8,145.1,387.3,,145.5,386.5,-19.5,,238,,143.7,384.5,,,,,,,,,
0740/018,Project Open Hand,730 POLK ST,94109,57649,Office,"730 POLK ST
SAN FRANCISCO, CA 94109
(37.783785, -122.419321)",Violation - Did Not Report,,http://propertymap.sfplanning.org/?&search=0740/018,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Pending - Contracted,2018-04-01T00:00:00,Complied,2012-11-15T00:00:00,,,,,,,,,,,99,208.4,69.3,69.3,400.1,6.9,99,208.4,,95.4,201.9,64,64,371.8,6.4,95.4,201.9,,95.1,201.5,63.7,63.7,371,6.4,96.6,203,,90.3,191.3,55.4,55.4,368.9,6.4,90.4,191.5,,91.5,203,30.8,,382.16,,93.9,210.2,,139,,89,,413.05,,139,
1022/026,Laurel Inn,444 PRESIDIO AVE,94115,40328,Hotel,"444 PRESIDIO AVE
SAN FRANCISCO, CA 94115
(37.787556, -122.446835)",Complied,,http://propertymap.sfplanning.org/?&search=1022/026,Complied,,Complied,,Complied,,Complied,,Complied,,Violation - Did Not Report,,Exempt,Exempt - SqFt Not Subject This Year,Upcoming,2019-04-01T00:00:00,Complied,2014-04-01T00:00:00,49,60.2,134.5,0.6,0.6,101,4,61.1,137.4,47,60.1,135.2,1.9,1.9,110.8,4.4,62,141.4,38,64.5,144.5,9.5,9.5,113.7,4.5,65.3,147,21,74.2,162.8,26.4,26.4,129.7,5.1,76.1,168.6,22,77.5,172.9,25.2,25.3,143.4,5.6,75.8,168.4,22,77.8,173.6,25.3,25.3,136.9,5.4,77.2,173,,,,,,,,,
1724/038,SF Police Credit Union,2550 IRVING ST,94122,34417,Financial Office,"2550 IRVING ST
SAN FRANCISCO, CA 94122
(37.763223, -122.485203)",Violation - Did Not Report,,http://propertymap.sfplanning.org/?&search=1724/038,Complied,,Complied,,Complied,,Violation - Did Not Report,,Complied,,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,,,Complied,2014-04-01T00:00:00,,,,,,,,,,86,54.4,159.9,-38.9,-38.9,93.8,4.5,55.7,161.3,82,58.3,175,-33.2,-33.2,95.9,4.6,58.8,175.6,67,70.5,214.7,-17.4,-17.4,116.8,5.7,70.1,211.1,,,,,,,,,,43,80.3,250.4,7.4,,129.99,,80.4,250.6,,,,,,,,,
3785/009,651 BRANNAN ST,651 BRANNAN ST,94107,172415,Office,"651 BRANNAN ST
SAN FRANCISCO, CA 94107
(37.77556, -122.400046)",Complied,,http://propertymap.sfplanning.org/?&search=3785/009,Complied,,Complied,,Complied,,Complied,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,,,Exempt - ENERGY STAR,2012-11-15T00:00:00,96,134.2,355.9,-36.8,-36.8,1306.8,9.5,136.5,358.4,98,126.7,334.7,-39.5,-39.5,1377.3,10,126.7,334.7,,78.9,224.5,51.7,51.7,844.5,6.1,78.9,224.5,100,99.6,265.2,-48,-48,1031.6,7.5,99.5,262.1,97,124.6,340.4,-39.7,-39.7,1395.1,10.1,124.6,340,,,,,,,,,,,,,,,,,,
3572/020A,2765 16TH ST,2765 16TH ST,94110,17160,Non-Refrigerated Warehouse,"2765 16TH ST
SAN FRANCISCO, CA 94110
(37.765362, -122.414526)",Complied,,http://propertymap.sfplanning.org/?&search=3572/020A,Complied,,Complied,,Complied,,Complied,,Violation - Did Not Report,,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,,,Complied,2014-04-01T00:00:00,88,11.4,28.3,-53.2,-53.2,13.5,0.8,12.1,29,88,11.4,27.9,-53.1,-53.1,14.8,0.9,13,29.6,87,11.1,27.9,-52.4,-52.4,13.9,0.8,11.8,28.7,87,10.3,26.6,-51.5,-51.5,13.1,0.8,10.3,26.6,95,9.6,20.8,-68.2,-68.2,11.2,0.7,,,,,,,,,,,,,,,,,,,,
